                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4711,                 4.9866,                 4.2972,                0.00072,                0.30035,                0.00078,                0.00024,                 3.2603,                 4.8041,                 4.1589,             0.00025005,             0.00025005,             0.00025005
                      2,                 3.3824,                  4.423,                 4.1136,                0.00069,                0.29688,                0.00103,                0.00033,                  3.258,                 4.7926,                  4.162,             0.00049631,             0.00049631,             0.00049631
                      3,                  3.144,                 3.9598,                 3.8127,                0.00072,                0.29861,                0.00359,                0.00089,                   3.27,                 4.7467,                 4.1881,             0.00072144,             0.00072144,             0.00072144
                      4,                 2.7734,                 3.5009,                 3.4391,                0.00064,                0.29514,                0.00421,                0.00145,                 3.2926,                 4.7243,                 4.2579,             0.00092545,             0.00092545,             0.00092545
                      5,                 2.7713,                 3.3438,                 3.2244,                0.00081,                0.26042,                0.00206,                0.00045,                 3.3013,                 4.6431,                 4.3236,              0.0011083,              0.0011083,              0.0011083
                      6,                 2.4468,                  3.071,                 2.9581,                0.00102,                0.06597,                0.00217,                 0.0008,                 3.2896,                 4.7114,                 4.3504,              0.0012701,              0.0012701,              0.0012701
                      7,                 2.3935,                 2.8691,                 2.7705,                0.00112,                0.10069,                 0.0007,                0.00025,                 3.1918,                 4.5936,                 4.1927,              0.0012709,              0.0012709,              0.0012709
                      8,                 2.3854,                 2.7902,                 2.7951,                0.00415,                0.32465,                0.00869,                0.00292,                 2.8242,                 4.3216,                 3.8733,              0.0012709,              0.0012709,              0.0012709
                      9,                 2.3128,                 2.5858,                 2.6787,                0.62347,                0.09028,                0.06627,                0.02344,                 2.3756,                 3.5703,                 3.1758,              0.0012049,              0.0012049,              0.0012049
                     10,                 2.2786,                  2.489,                 2.6489,                0.73797,                 0.1684,                0.16982,                0.06037,                 2.3781,                 2.8714,                 3.0025,              0.0011389,              0.0011389,              0.0011389
                     11,                 2.2461,                 2.3437,                 2.5391,                0.83088,                0.23264,                0.29222,                0.14497,                 1.9494,                 2.2666,                 2.4309,              0.0010729,              0.0010729,              0.0010729
                     12,                 2.1377,                 2.3048,                 2.4755,                0.83453,                0.31597,                0.34036,                0.15409,                 1.8766,                 2.2154,                 2.3426,              0.0010069,              0.0010069,              0.0010069
                     13,                 2.1826,                 2.2238,                 2.4413,                0.81503,                 0.3125,                0.34249,                0.17513,                 1.8849,                 2.1759,                 2.3323,             0.00094085,             0.00094085,             0.00094085
                     14,                  2.051,                 2.1051,                 2.3555,                0.84416,                 0.3559,                0.35759,                0.19189,                 1.7505,                 1.9621,                 2.2325,             0.00087484,             0.00087484,             0.00087484
                     15,                 2.0097,                 1.9569,                 2.3351,                0.93757,                0.35764,                0.40176,                0.22631,                  1.666,                 1.8309,                 2.1282,             0.00080883,             0.00080883,             0.00080883
                     16,                 1.6827,                 2.1224,                 2.1244,                0.94215,                0.34501,                0.39896,                0.20073,                 1.7913,                 1.9971,                 2.1643,             0.00074282,             0.00074282,             0.00074282
                     17,                 1.7166,                 2.0149,                 2.1807,                0.92853,                0.33681,                0.40198,                0.20975,                 1.7567,                 2.1018,                 2.1552,              0.0006768,              0.0006768,              0.0006768
                     18,                 1.7803,                 2.0046,                 2.1785,                0.85503,                0.31771,                0.34433,                0.16719,                 1.8183,                 2.0183,                 2.1483,             0.00061079,             0.00061079,             0.00061079
                     19,                 1.6749,                 1.9361,                 2.0482,                0.87705,                 0.3559,                0.38654,                0.21775,                 1.6361,                 1.9971,                 2.0188,             0.00054478,             0.00054478,             0.00054478
                     20,                 1.6448,                 1.9265,                 2.0851,                0.94053,                 0.3858,                0.44403,                0.24908,                 1.5568,                 1.6537,                 1.9654,             0.00047876,             0.00047876,             0.00047876
                     21,                 1.6315,                   1.82,                 2.0356,                0.93353,                0.38021,                0.43892,                0.26431,                 1.4841,                 1.5192,                  1.929,             0.00041275,             0.00041275,             0.00041275
                     22,                 1.5966,                 1.7332,                 1.9883,                 0.9465,                0.38194,                0.43909,                0.26741,                 1.4967,                 1.5234,                  1.918,             0.00034674,             0.00034674,             0.00034674
                     23,                 1.5571,                 1.6933,                 1.9908,                0.91202,                0.38212,                0.44143,                0.27243,                 1.4918,                 1.4793,                  1.902,             0.00028072,             0.00028072,             0.00028072
                     24,                 1.5539,                 1.6409,                  1.971,                0.95078,                0.39757,                0.46932,                0.28645,                 1.4425,                 1.3704,                 1.8491,             0.00021471,             0.00021471,             0.00021471
                     25,                 1.5288,                  1.613,                 1.9169,                0.95951,                0.38889,                0.46846,                0.28445,                 1.4431,                 1.3592,                 1.8481,              0.0001487,              0.0001487,              0.0001487
